"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C3001220","CS1V101M-CRE77","ROQANG","SMD,D6.3xL7.7mm","","-40℃~+105℃ 1000hrs@105℃ 100uF 7.7mm 35V 6.3mm 84mA@120Hz ±20% SMD,D6.3xL7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS","yes","60","20","0.0347","2.08","https://assets.lcsc.com/images/lcsc/96x96/20220514_ROQANG-CS1V101M-CRE77_C3001220_front.jpg"
"C249984","VZT151M1VTR-0607","Lelon","SMD,D6.3xL7.7mm","","-45℃~+105℃ 2000hrs@105℃ 150uF 7.7mm 35V 6.3mm ±20% SMD,D6.3xL7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS","yes","50","1","0.1269","6.35","https://assets.lcsc.com/images/lcsc/96x96/20180930_Lelon-VZT151M1VTR-0607_C249984_front.jpg"
"C3001217","CS1A471M-CRE77","ROQANG","SMD,D6.3xL7.7mm","","-40℃~+105℃ 1000hrs@105℃ 470uF 7.7mm 10V 6.3mm 120mA@120Hz ±20% SMD,D6.3xL7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS","yes","200","20","0.0279","5.58","https://assets.lcsc.com/images/lcsc/96x96/20220514_ROQANG-CS1A471M-CRE77_C3001217_front.jpg"
"C96123","CL31A476MPHNNNE","Samsung Electro-Mechanics","1206","","10V 47uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","150","5","0.0529","7.94","https://assets.lcsc.com/images/lcsc/96x96/20180914_Samsung-Electro-Mechanics-CL31A476MPHNNNE_C96123_front.jpg"
"C21325","SMDRI127-151MT","SXN(Shun Xiang Nuo Elec)","SMD","","1.42A 150uH ±20% 280mΩ SMD  Power Inductors ROHS","yes","30","1","0.1503","4.51","https://assets.lcsc.com/images/lcsc/96x96/20200814_SXN-Shun-Xiang-Nuo-Elec-SMDRI127-151MT_C21325_front.jpg"
"C400315","PK0810-101MB","SXN(Shun Xiang Nuo Elec)","Radial Leaded","","900mA 100uH ±20% 200mΩ Radial Leaded  Power Inductors ROHS","yes","50","5","0.0909","4.55","https://assets.lcsc.com/images/lcsc/96x96/20190710_SXN-Shun-Xiang-Nuo-Elec-PK0810-101MB_C400315_front.jpg"
"C72629","VLU0608-101K","FH (Guangdong Fenghua Advanced Tech)","Radial Leaded","","700mA 100uH ±10% 350mΩ Radial Leaded  Power Inductors ROHS","yes","50","5","0.0657","3.29","https://assets.lcsc.com/images/lcsc/96x96/20200720_FH--Guangdong-Fenghua-Advanced-Tech-VLU0608-101K_C72629_front.jpg"
"C72625","VLU0810-221K","FH (Guangdong Fenghua Advanced Tech)","Radial Leaded","","700mA 220uH ±10% 450mΩ Radial Leaded  Power Inductors ROHS","yes","50","5","0.0766","3.83","https://assets.lcsc.com/images/lcsc/96x96/20190601_FH--Guangdong-Fenghua-Advanced-Tech-VLU0810-221K_C72625_front.jpg"
"C376859","TCC0805COG101J500BT","CCTC","0805","","50V 100pF C0G ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","50","50","0.0048","0.24","https://assets.lcsc.com/images/lcsc/96x96/20190407_CCTC-TCC0805COG101J500BT_C376859_front.jpg"
"C376866","TCC0805COG151J500BT","CCTC","0805","","50V 150pF C0G ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","50","50","0.0059","0.3","https://assets.lcsc.com/images/lcsc/96x96/20190407_CCTC-TCC0805COG151J500BT_C376866_front.jpg"
"C2847438","FN21N181J500PAG","PSA(Prosperity Dielectrics)","0805","","50V 180pF C0G ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","50","50","0.0085","0.43","https://assets.lcsc.com/images/lcsc/96x96/20210721_PSA-Prosperity-Dielectrics-FN21N181J500PAG_C2847438_front.jpg"
"C1793","0805CG121J500NT","FH (Guangdong Fenghua Advanced Tech)","0805","","50V 120pF C0G ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","50","50","0.0119","0.6","https://assets.lcsc.com/images/lcsc/96x96/20180914_FH--Guangdong-Fenghua-Advanced-Tech-0805CG121J500NT_C1793_front.jpg"
"C218393","ARG05FTC1201","Viking Tech","0805","","125mW Thin Film Resistor 100V ±25ppm/℃ ±1% -55℃~+155℃ 1.2kΩ 0805  Chip Resistor - Surface Mount ROHS","yes","500","50","0.0073","3.65","https://assets.lcsc.com/images/lcsc/96x96/20180914_Viking-Tech-ARG05FTC1201_C218393_front.jpg"
"C218558","ARG05FTC3601","Viking Tech","0805","","125mW Thin Film Resistor 100V ±25ppm/℃ ±1% -55℃~+155℃ 3.6kΩ 0805  Chip Resistor - Surface Mount ROHS","yes","500","50","0.0072","3.6","https://assets.lcsc.com/images/lcsc/96x96/20180922_Viking-Tech-ARG05FTC3601_C218558_front.jpg"
"C218561","ARG05FTC3901","Viking Tech","0805","","125mW Thin Film Resistor 100V ±25ppm/℃ ±1% -55℃~+155℃ 3.9kΩ 0805  Chip Resistor - Surface Mount ROHS","yes","500","50","0.0079","3.95","https://assets.lcsc.com/images/lcsc/96x96/20180922_Viking-Tech-ARG05FTC3901_C218561_front.jpg"
"C425499","TC0550D1301T5E","UNI-ROYAL(Uniroyal Elec)","0805","","250mW Thin Film Resistor 150V ±0.5% ±50ppm/℃ -55℃~+155℃ 1.3kΩ 0805  Chip Resistor - Surface Mount ROHS","yes","500","50","0.0106","5.3","https://assets.lcsc.com/images/lcsc/96x96/20191010_UNI-ROYAL-Uniroyal-Elec-TC0550D1301T5E_C425499_front.jpg"
"C160918","RL10FTNR330","TA-I Tech","0805","","250mW 330mΩ ±200ppm/℃ ±1% 0805  Current Sense Resistors/Shunt Resistors ROHS","yes","500","50","0.0086","4.3","-"
"C724024","RL0805FR-070R33L","YAGEO","0805","","1W 330mΩ Surface Mount Current Sensing Resistors ±1% 0805  Current Sense Resistors/Shunt Resistors ROHS","yes","500","50","0.0104","5.2","https://assets.lcsc.com/images/lcsc/96x96/20201008_YAGEO-RL0805FR-070R33L_C724024_front.jpg"
